legacy id,legacy url,new generated url,url for counting,number of new elements since migration,used in
11675,https://infoscience.epfl.ch/curator/export/11675/?ln=en,https://infoscience.epfl.ch/search?p=markram+OR+%28+Hagens+AND+Pozzorini+%29+OR+Khubieh&f1=author&so=d&rg=300,https://infoscience.epfl.ch/search?f1=author&so=d&rg=300&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=markram+OR+%28+Hagens+AND+Pozzorini+%29+OR+Khubieh,0,JAHIA
11229,http://infoscience.epfl.ch/curator/export/11229/?ln=en,https://infoscience.epfl.ch/search?p=Courtine+AND+%28+source%3Ascience+OR+source%3Anature+OR+source%3Alancet+OR+source%3ACell+OR+source%3Aneuron+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Courtine+AND+%28+source%3Ascience+OR+source%3Anature+OR+source%3Alancet+OR+source%3ACell+OR+source%3Aneuron+%29,0,JAHIA
9771,http://infoscience.epfl.ch/curator/export/9771/?ln=en,https://infoscience.epfl.ch/search?p=%28+Courtine+%29+AND+%28+collection%3AARTICLE+OR+collection%3AREVIEW+OR+collection%3ACONF+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+Courtine+%29+AND+%28+collection%3AARTICLE+OR+collection%3AREVIEW+OR+collection%3ACONF+%29,0,JAHIA
6163,http://infoscience.epfl.ch/curator/export/6163/?ln=en,https://infoscience.epfl.ch/search?p=%28+collection%3AARTICLE+OR+collection%3ACONF+OR+collection%3ABOOK+OR+collection%3ATHESIS+OR+collection%3ACHAPTER+%29&c=Infoscience%2FResearch%2FSTI%2FIEL%2FLSM&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FSTI%2FIEL%2FLSM&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+collection%3AARTICLE+OR+collection%3ACONF+OR+collection%3ABOOK+OR+collection%3ATHESIS+OR+collection%3ACHAPTER+%29,0,JAHIA
8667,http://infoscience.epfl.ch/curator/export/8667/?ln=en,https://infoscience.epfl.ch/search?p=lashuel&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=lashuel,5,JAHIA
2821,http://infoscience.epfl.ch/curator/publications/exporter/2821/,https://infoscience.epfl.ch/search?p=sfi-ll&c=Infoscience%2FWorking+papers&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FWorking+papers&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=sfi-ll,0,JAHIA
7459,http://infoscience.epfl.ch/curator/export/7459/?ln=fr,https://infoscience.epfl.ch/search?p=&f1=year&c=Infoscience%2FResearch%2FSTI%2FIMT%2FOPT&so=d&rg=100,https://infoscience.epfl.ch/search?p=&f1=year&c=Infoscience%2FResearch%2FSTI%2FIMT%2FOPT&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=,4,JAHIA
6164,http://infoscience.epfl.ch/curator/export/6164/?ln=en,https://infoscience.epfl.ch/search?p=%28+%28+author%3A%22Rosset%2C+s%22+OR+author%3A%22Niklaus%2C+m%22+OR+author%3A%22akbari%2C+s%22+OR+author%3A%22maffli%2C+l%22+OR+author%3A%22dubois%2C+p%22+OR+author%3A%22alici%2C+g%22+%29+AND+unit%3Almts+%29+AND+%28+collection%3AARTICLE+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+%28+author%3A%22Rosset%2C+s%22+OR+author%3A%22Niklaus%2C+m%22+OR+author%3A%22akbari%2C+s%22+OR+author%3A%22maffli%2C+l%22+OR+author%3A%22dubois%2C+p%22+OR+author%3A%22alici%2C+g%22+%29+AND+unit%3Almts+%29+AND+%28+collection%3AARTICLE+%29,0,JAHIA
6165,http://infoscience.epfl.ch/curator/export/6165/?ln=en,https://infoscience.epfl.ch/search?p=%28+%28+author%3A%22Rosset%2C+s%22+OR+author%3A%22Niklaus%2C+m%22+OR+author%3A%22akbari%2C+s%22+OR+author%3A%22maffli%2C+l%22+OR+author%3A%22dubois%2C+p%22+OR+author%3A%22alici%2C+g%22+OR+abstract%3AEAP+%29+AND+unit%3Almts+%29+AND+%28+collection%3ACONF+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+%28+author%3A%22Rosset%2C+s%22+OR+author%3A%22Niklaus%2C+m%22+OR+author%3A%22akbari%2C+s%22+OR+author%3A%22maffli%2C+l%22+OR+author%3A%22dubois%2C+p%22+OR+author%3A%22alici%2C+g%22+OR+abstract%3AEAP+%29+AND+unit%3Almts+%29+AND+%28+collection%3ACONF+%29,0,JAHIA
6296,http://infoscience.epfl.ch/curator/export/6296/?ln=fr,https://infoscience.epfl.ch/search?p=unit%3ALEI+collection%3ACONF+year%3A2012&c=Infoscience%2FResearch%2FSTI%2FIEL%2FLEI&so=a&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2FSTI%2FIEL%2FLEI&so=a&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=unit%3ALEI+collection%3ACONF+year%3A2012,0,JAHIA
