legacy id,legacy url,legacy raw search values,new generated url,url for counting,number of new elements since migration,used in
9880,http://infoscience.epfl.ch/curator/export/9880/?ln=fr,"{'search_pattern': 'unit:mcs', 'search_collection': 'Infoscience/Research', 'search_filter': 'collection:ARTICLE'}",https://infoscience.epfl.ch/search?p=%28+unit%3Amcs+%29+AND+%28+collection%3AARTICLE+%29&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+unit%3Amcs+%29+AND+%28+collection%3AARTICLE+%29,0,JAHIA
9881,http://infoscience.epfl.ch/curator/export/9881/?ln=fr,"{'search_pattern': 'unit:mcs', 'search_filter': 'collection:CONF'}",https://infoscience.epfl.ch/search?p=%28+unit%3Amcs+%29+AND+%28+collection%3ACONF+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+unit%3Amcs+%29+AND+%28+collection%3ACONF+%29,0,JAHIA
9883,http://infoscience.epfl.ch/curator/export/9883/?ln=fr,"{'search_pattern': 'unit:mcs', 'search_filter': 'collection:BOOK'}",https://infoscience.epfl.ch/search?p=%28+unit%3Amcs+%29+AND+%28+collection%3ABOOK+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+unit%3Amcs+%29+AND+%28+collection%3ABOOK+%29,0,JAHIA
9882,http://infoscience.epfl.ch/curator/export/9882/?ln=fr,"{'search_pattern': 'unit:mcs', 'search_filter': 'collection:THESIS'}",https://infoscience.epfl.ch/search?p=%28+unit%3Amcs+%29+AND+%28+collection%3ATHESIS+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+unit%3Amcs+%29+AND+%28+collection%3ATHESIS+%29,0,JAHIA
9884,http://infoscience.epfl.ch/curator/export/9884/?ln=fr,"{'search_pattern': 'unit:mcs', 'search_filter': 'collection:CHAPTER,collection:PROC,collection:POSTER,collection:TALK,collection:STANDARD,collection:PATENT,collection:REPORT,collection:WORKING,collection:POLY,collection:STUDENT'}",https://infoscience.epfl.ch/search?p=%28+unit%3Amcs+%29+AND+%28+collection%3ACHAPTER+OR+collection%3APROC+OR+collection%3APOSTER+OR+collection%3ATALK+OR+collection%3ASTANDARD+OR+collection%3APATENT+OR+collection%3AREPORT+OR+collection%3AWORKING+OR+collection%3APOLY+OR+collection%3ASTUDENT+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+unit%3Amcs+%29+AND+%28+collection%3ACHAPTER+OR+collection%3APROC+OR+collection%3APOSTER+OR+collection%3ATALK+OR+collection%3ASTANDARD+OR+collection%3APATENT+OR+collection%3AREPORT+OR+collection%3AWORKING+OR+collection%3APOLY+OR+collection%3ASTUDENT+%29,0,JAHIA
3022,http://infoscience.epfl.ch/curator/publications/exporter/3022/,"{'search_pattern': 'unit:LVG', 'search_collection': 'Infoscience', 'search_filter': 'collection:ARTICLE,collection:REVIEW,collection:CONF,collection:BOOK,collection:CHAPTER,collection:PROC'}",https://infoscience.epfl.ch/search?p=%28+unit%3ALVG+%29+AND+%28+collection%3AARTICLE+OR+collection%3AREVIEW+OR+collection%3ACONF+OR+collection%3ABOOK+OR+collection%3ACHAPTER+OR+collection%3APROC+%29&c=Infoscience&so=d,https://infoscience.epfl.ch/search?c=Infoscience&so=d&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+unit%3ALVG+%29+AND+%28+collection%3AARTICLE+OR+collection%3AREVIEW+OR+collection%3ACONF+OR+collection%3ABOOK+OR+collection%3ACHAPTER+OR+collection%3APROC+%29,0,JAHIA
6577,http://infoscience.epfl.ch/curator/publications/exporter/6577,"{'search_pattern': 'author:""K Schoonjans"" | author:""J Auwerx""'}",https://infoscience.epfl.ch/search?p=author%3A%22K+Schoonjans%22+%7C+author%3A%22J+Auwerx%22&so=d,https://infoscience.epfl.ch/search?so=d&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3A%22K+Schoonjans%22+%7C+author%3A%22J+Auwerx%22,0,JAHIA
1124,http://infoscience.epfl.ch/curator/publications/exporter/1124/,{'search_basket_id': '3270'},https://infoscience.epfl.ch/search?bskid=3270&of=xm,,n/a,JAHIA
1127,http://infoscience.epfl.ch/curator/export/1127/,{'search_basket_id': '3265'},https://infoscience.epfl.ch/search?bskid=3265&of=xm,,n/a,JAHIA
592,http://infoscience.epfl.ch/curator/publications/exporter/592/,{'search_collection': 'Infoscience/Research/SB/MATHAA/DISOPT'},https://infoscience.epfl.ch/search?p=&c=Infoscience%2FResearch%2FSB%2FMATHAA%2FDISOPT&so=d,https://infoscience.epfl.ch/search?p=&c=Infoscience%2FResearch%2FSB%2FMATHAA%2FDISOPT&so=d&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=,0,JAHIA
